order_name	family_name	genus_name	species_name	country	province	geographical_location	exactsite	FID	Shape *	ECO_CODE	ECOREGION	PROV_CODE	PROVINCE	RLM_CODE	REALM	ALT_CODE	ECO_CODE_X	Lat_Zone
Labriformes	Labridae	Halichoeres	Halichoeres claudia	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Pseudocheilinus	Pseudocheilinus tetrataenia	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Labroides	Labroides rubrolabiatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Ovalentaria	Pomacentridae	Chromis	Chromis acares	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Ovalentaria	Pomacentridae	Plectroglyphidodon	Plectroglyphidodon johnstonianus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax javanicus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax javanicus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Cirrhilabrus	Cirrhilabrus scottorum	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Cirrhitidae	Paracirrhites	Paracirrhites arcatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Serranidae	Plectranthias	Plectranthias nanus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Ovalentaria	Pseudochromidae	Pseudoplesiops	Pseudoplesiops revellei	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Chaetodontidae	Forcipiger	Forcipiger longirostris	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southeast side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Kurtiformes	Apogonidae	Pseudamiops	Pseudamiops gracilicauda	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Eviota	Eviota dorsimaculata	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Holocentriformes	Holocentridae	Sargocentron	Sargocentron microstoma	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Acanthuriformes	Acanthuridae	Ctenochaetus	Ctenochaetus flavicauda	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus nigricans	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Ovalentaria	Pomacentridae	Chromis	Chromis agilis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Holocentriformes	Holocentridae	Sargocentron	Sargocentron tiere	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Cheilinus	Cheilinus oxycephalus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Serranidae	Suttonia	Suttonia lineata	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Blenniiformes	Tripterygiidae	Enneapterygius	Enneapterygius pyramis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Cirrhitidae	Amblycirrhitus	Amblycirrhitus bimacula	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Thalassoma	Thalassoma lutescens	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Chlopsidae	Kaupichthys	Kaupichthys diodontus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Blenniiformes	Tripterygiidae	Enneapterygius		French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Scorpaeniformes	Scorpaenidae	Sebastapistes	Sebastapistes fowleri	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Scorpaeniformes	Scorpaenidae	Sebastapistes		French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Enchelycore	Enchelycore bayeri	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Uropterygius	Uropterygius alboguttatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Tetraodontiformes	Balistidae	Balistapus	Balistapus undulatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Serranidae	Cephalopholis	Cephalopholis leopardus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Serranidae	Cephalopholis	Cephalopholis urodeta	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax fuscomaculatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Pseudechidna	Pseudechidna brummeri	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Serranidae	Pseudanthias	Pseudanthias pascalus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southeast side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
