scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon citrinellus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon bennetti	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon bennetti	Australia: Coast of Queensland	Northeast Australian Shelf
Symmetrovesicula chaetodontis	Yamaguti, 1938          	Chaetodon bennetti	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon baronessa	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster quasimodo	Bray, Cribb & Barker, 1994        	Chaetodon auriga	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon auriga	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster chaetodontis	Yamaguti, 1938          	Chaetodon auriga	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon aureofasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon aureofasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Mitotrema anthostomatum	Manter, 1963          	Chaetodon aureofasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon aureofasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Symmetrovesicula chaetodontis	Yamaguti, 1938          	Chaetodon aureofasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Acanthocolpus acanthocepolae	Shen, 1990          	Cepola schlegeli	South China Sea	South China Sea
Gonapodasmius branchialis	Yamaguti, 1970          	Cephalopholis platycentron	South China Sea	South China Sea
Gonapodasmius branchialis	Yamaguti, 1970          	Cephalopholis pachycentron	South China Sea	South China Sea
Lepidapedoides angustus	Bray, Cribb & Barker, 1996        	Cephalopholis miniatus	Australia: Coast of Queensland	Northeast Australian Shelf
Didymosulcus orbitalis	(Yamaguti, 1970)          	Carcharhinus longimanus	Hawaiian coast	Hawaii
Aponurus uraspis	Shen, 1990          	Uraspis helvola	South China Sea	South China Sea
Lecithochirium priacanthi	Yamaguti, 1953          	Uraspis helvola	South China Sea	South China Sea
Ectenurus trachuri	(Yamaguti, 1934)          	Caranx sexfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Stephanostomum nyoomwa	Bray & Cribb, 2003        	Caranx sexfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Rhipidocotyle carangi	Shen, 1990          	Caranx sexfasciatus	South China Sea	South China Sea
Stephanostomum hawaiiense	Yamaguti, 1970          	Caranx sexfasciatus	Hawaiian coast	Hawaii
Acanthocolpus sanyaensis	Shen, 1990          	Caranx malabaricus	South China Sea	South China Sea
Stephanostomum madhaviae	Bray & Cribb, 2003        	Caranx ignobilis	Australia: Coast of Queensland	Northeast Australian Shelf
Rhipidocotyle xishaensis	Gu & Shen, 1983        	Caranx ignobilis	South China Sea	South China Sea
Aponurus uraspis	Shen, 1990          	Caranx helvolus	South China Sea	South China Sea
Bucephalus hainanensis	Shen, 1966          	Carangoides malabaricus	South China Sea	South China Sea
Acanthocolpus sanyaensis	Shen, 1990          	Carangoides malabaricus	South China Sea	South China Sea
Oligolecithoides trilobatus	Shen, 1982          	Carangoides chrysophrys	South China Sea	South China Sea
Oligolecithoides trilobatus	Shen, 1982          	Carangoides chrysophrys	South China Sea	South China Sea
Dinurus magnacetabulum	Gu & Shen, 1978        	Atule mate	South China Sea	South China Sea
Opisthomonorcheides decapteri	Parukhin, 1966          	Atule mate	South China Sea	South China Sea
Plerurus atulis	Shen, 1990          	Atule mate	South China Sea	South China Sea
Lecithocladium excisum	(Rudolphi, 1819)          	Alepes vari	South China Sea	South China Sea
Ectenurus carangis	Gu & Shen, 1978        	Alepes djedaba	South China Sea	South China Sea
Lecithocladium megalaspis	Yamaguti, 1953          	Alepes djedaba	South China Sea	South China Sea
Tergestia atulis	Shen, 1990          	Alepes djedaba	South China Sea	South China Sea
Dinurus magnacetabulum	Gu & Shen, 1978        	Carangoides mate	South China Sea	South China Sea
Opisthomonorcheides decapteri	Parukhin, 1966          	Carangoides mate	South China Sea	South China Sea
Plerurus atulis	Shen, 1990          	Carangoides mate	South China Sea	South China Sea
Tormopsolus orientalis	(Yamaguti, 1934)          	Carangoides malabaricus	South China Sea	South China Sea
Ectenurus carangis	Gu & Shen, 1978        	Carangoides kalla	South China Sea	South China Sea
Lecithocladium megalaspis	Yamaguti, 1953          	Carangoides kalla	South China Sea	South China Sea
Plerurus digitatus	(Looss, 1899)          	Carangoides gymnostethoides	Australia: Coast of Queensland	Northeast Australian Shelf
Plerurus digitatus	(Looss, 1899)          	Carangoides embureyi	Australia: Coast of Queensland	Northeast Australian Shelf
Tergestia atulis	Shen, 1990          	Carangoides djeddaba	South China Sea	South China Sea
Dermadena spatiosa	Bray & Cribb, 1996        	Cantheschenia grandisquamis	Australia: Coast of Queensland	Northeast Australian Shelf
Hypocreadium cavum	Bray & Cribb, 1996        	Cantheschenia grandisquamis	Australia: Coast of Queensland	Northeast Australian Shelf
Hypocreadium grandisquamis	Bray & Cribb, 1996        	Cantheschenia grandisquamis	Australia: Coast of Queensland	Northeast Australian Shelf
Lepotrema canthescheni	Bray & Cribb, 1996        	Cantheschenia grandisquamis	Australia: Coast of Queensland	Northeast Australian Shelf
Cableia pudica	Bray, Cribb & Barker, 1996        	Cantheschenia grandisquamis	Australia: Coast of Queensland	Northeast Australian Shelf
Bianium rewa	Bray, Cribb & Barker, 1996        	Cantherhines pardalis	Australia: Coast of Queensland	Northeast Australian Shelf
Cableia pudica	Bray, Cribb & Barker, 1996        	Cantherhines pardalis	Australia: Coast of Queensland	Northeast Australian Shelf
Cableia pudica	Bray, Cribb & Barker, 1996        	Cantherhines dumerili	Australia: Coast of Queensland	Northeast Australian Shelf
Trifoliovarium draconis	Bray & Cribb, 2000        	Callionymus sublaevis	Australia: Coast of Queensland	Northeast Australian Shelf
Aponurus laguncula	Looss, 1907          	Callionymus limiceps	Australia: Coast of Queensland	Northeast Australian Shelf
Trifoliovarium draconis	Bray & Cribb, 2000        	Callionymus belcheri	Australia: Coast of Queensland	Northeast Australian Shelf
Prosogonotrema caesionis	Gu & Shen, 1979        	Caesio erythrogaster	South China Sea	South China Sea
Lepidapedoides ovale	(Yamaguti, 1942)          	Caesio cuning	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides parvulus	Bray, Cribb & Barker, 1996        	Caesio cuning	Australia: Coast of Queensland	Northeast Australian Shelf
Hexangium sigani	Goto & Ozaki, 1929        	Caesio cuning	Coast of Philippines	Western Coral Triangle
Prosogonotrema bilabiatum	Vigueras, 1940          	Caesio cuning	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema haasi	Witenberg, 1944          	Caesio cuning	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithochirium caesionis	Yamaguti, 1942          	Caesio cuning	Australia: Coast of Queensland	Northeast Australian Shelf
Trigonotrema alatum	Goto & Ozaki, 1929        	Branchiostegus auratus	South China Sea	South China Sea
Trigonotrema alatum	Goto & Ozaki, 1929        	Branchiostegus argentatus	South China Sea	South China Sea
Manteriella hainanensis	Shen, 1990          	Branchiostegus argentatus	South China Sea	South China Sea
Plagioporus azurionis	Yamaguti, 1951          	Bothus mancus	South China Sea	South China Sea
Opegaster gobii	Yamaguti, 1952          	Blennius sinensis	South China Sea	South China Sea
Lecithostaphylus ahaaha	Yamaguti, 1970          	Belone platyura	South China Sea	South China Sea
Pseudobucephalopsis belonnis	Gu & Shen, 1983        	Belone platyara	South China Sea	South China Sea
Diplocreadium tsontso	Bray, Cribb & Barker, 1996        	Balistoides conspicillus	Australia: Coast of Queensland	Northeast Australian Shelf
Lobatocreadium exiguum	(Manter, 1963)          	Balistes undulatus	Australia: Coast of Queensland	Northeast Australian Shelf
Pseudocreadium hainanensis	Shen, 1990          	Balistes capistratus	South China Sea	South China Sea
Annulocystis auxis	(Taschenberg, 1879)          	Auxis thazard	Hawaiian coast	Hawaii
Didymocystoides buccalis	(Yamaguti, 1970)          	Auxis thazard	South China Sea	South China Sea
Lecithochirium keokeo	Yamaguti, 1970          	Auxis thazard	Hawaiian coast	Hawaii
Plerurus kawakawa	Yamaguti, 1970          	Auxis thazard	Hawaiian coast	Hawaii
Pseudocolocyntotrema yaito	Yamaguti, 1970          	Auxis thazard	Hawaiian coast	Hawaii
Sicuotrema auxis	Yamaguti, 1970          	Auxis thazard	Hawaiian coast	Hawaii
Didymocystis philobranchia	Yamaguti, 1970          	Auxis thazard	South China Sea	South China Sea
Koellikeria orientalis	Yamaguti, 1934          	Auxis tapeinosoma	South China Sea	South China Sea
Bulbocirrus aulostomi	Yamaguti, 1965          	Aulostomus chinensis	Hawaiian coast	Hawaii
Bulbocirrus aulostomi	Yamaguti, 1965          	Aulostomus chinensis	Australia: Coast of Queensland	Northeast Australian Shelf
Stephanostomum nunu	Yamaguti, 1970          	Aulostomus chinensis	Hawaiian coast	Hawaii
Lecithocladium angustiovum	Yamaguti, 1953          	Atule mate	Coast of Philippines	Western Coral Triangle
Tergestia atropi	Shen, 1990          	Atropus atropus	South China Sea	South China Sea
Bucephalus retractilis	Yamaguti, 1952          	Atropus atropus	South China Sea	South China Sea
Ectenurus trachuri	(Yamaguti, 1934)          	Atherinomorus capricornensis	Australia: Coast of Queensland	Northeast Australian Shelf
Bivesiculoides fusiformis	Cribb, Bray & Barker, 1994        	Atherinomorus capricornensis	Australia: Coast of Queensland	Northeast Australian Shelf
Trigonocryptus conus	Martin, 1958          	Arothron nigropunctatus	Australia: Coast of Queensland	Northeast Australian Shelf
Trigonocryptus conus	Martin, 1958          	Arothron hispidus	Hawaiian coast	Hawaii
Trigonocryptus conus	Martin, 1958          	Arothron hispidus	Australia: Coast of Queensland	Northeast Australian Shelf
Paracardicola hawaiiensis	Martin, 1960          	Arothron hispidus	Hawaiian coast	Hawaii
Monodhelmis torpedinis	Dollfus, 1937          	Arius thalassinus	Coast of Philippines	Western Coral Triangle
Mehratrema arii	Gu & Shen, 1979        	Arius thalassinus	South China Sea	South China Sea
Elongoparorchis arii	Shen & Tong, 1984        	Arius thalassinus	South China Sea	South China Sea
Monodhelmis torpedinis	Dollfus, 1937          	Arius sinensis	South China Sea	South China Sea
Mehratrema arii	Gu & Shen, 1979        	Arius sinensis	South China Sea	South China Sea
Elongoparorchis arii	Shen & Tong, 1984        	Arius sinensis	South China Sea	South China Sea
Opecoelus minimus	(Tubangui, 1928)          	Arius manilensis	Coast of Philippines	Western Coral Triangle
Monodhelmis trichofurcata	(Johnston & Angel, 1940)        	Arius graeffei	Queensland	Northeast Australian Shelf
Monodhelmis torpedinis	Dollfus, 1937          	Arius graeffei	Australia: Coast of Queensland	Northeast Australian Shelf
Buckleytrema indica	Gupta, 1956          	Arius graeffei	Australia: Coast of Queensland	Northeast Australian Shelf
Stephanostomum bicoronatum	(Stossich, 1883)          	Argyrosomus hololepidotus	Australia: Coast of Queensland	Northeast Australian Shelf
Stephanostomum argyrosomi	Shen in Shen & Qiu, 1995      	Argyrosomus argentatus	South China Sea	South China Sea
Pleorchis hainanensis	Shen, 1983          	Argyrosomus aneus	South China Sea	South China Sea
Stephanostomum uku	Yamaguti, 1970          	Aprion virescens	Hawaiian coast	Hawaii
Opecoelina pacifica	Manter, 1940          	Apogonichthys carinatus	South China Sea	South China Sea
Deretrema philippinense	Beverley-Burton & Early, 1982       	Anomalops katoptron	Coast of Philippines	Western Coral Triangle
Gyliauchen papillatus	(Goto & Matsudaira, 1918)        	Anodontostoma chacunda	Coast of Philippines	Western Coral Triangle
Transversotrema patialense	(Soparkar, 1924)          	Anodontostoma chacunda	Coast of Philippines	Western Coral Triangle
Phyllodistomum magnificum	          	Anguilla reinhardti	Queensland	Northeast Australian Shelf
Stegodexamene callista	          	Anguilla reinhardti	Queensland	Northeast Australian Shelf
Tubulovesicula angusticauda	(Nicoll, 1915)          	Anguilla reinhardti	Australia: Coast of Queensland	Northeast Australian Shelf
Tubulovesicula angusticauda	(Nicoll, 1915)          	Anguilla reinhardti	Queensland	Northeast Australian Shelf
Opecoelus variabilis	Cribb, 1985          	Anguilla reinhardti	Queensland	Northeast Australian Shelf
Austrohalipegus anguillicola	Cribb, 1988          	Anguilla reinhardti	Queensland	Northeast Australian Shelf
Paracardicoloides yamagutii	Martin, 1974          	Anguilla reinhardti	Queensland	Northeast Australian Shelf
Tetracerasta blepta	Watson, 1984          	Anguilla reinhardti	Queensland	Northeast Australian Shelf
Rhipidocotyle anguillae	Wang, 1985          	Anguilla mauritiana	South China Sea	South China Sea
Schikhobalotrema pomacentri	(Manter, 1937)          	Amphiprion perideraion	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Amphiprion perideraion	Australia: Coast of Queensland	Northeast Australian Shelf
Mitotrema anthostomatum	Manter, 1963          	Amphiprion perideraion	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Amphiprion perideraion	Australia: Coast of Queensland	Northeast Australian Shelf
Schikhobalotrema pomacentri	(Manter, 1937)          	Amphiprion akindynos	Australia: Coast of Queensland	Northeast Australian Shelf
Derogenes pearsoni	Bray, Cribb & Barker, 1993        	Amphiprion akindynos	Australia: Coast of Queensland	Northeast Australian Shelf
Mitotrema anthostomatum	Manter, 1963          	Amphiprion akindynos	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Amphiprion akindynos	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Amblyglyphidodon leucogaster	Australia: Coast of Queensland	Northeast Australian Shelf
Derogenes pearsoni	Bray, Cribb & Barker, 1993        	Amblyglyphidodon curacao	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Amblyglyphidodon curacao	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Amblyglyphidodon curacao	Australia: Coast of Queensland	Northeast Australian Shelf
Bacciger amblygastris	Machida & Kuramochi, 2003        	Amblygaster sirm	Coast of Philippines	Western Coral Triangle
Parahemiurus clupeae	Yamaguti, 1953          	Amblygaster sirm	Coast of Philippines	Western Coral Triangle
Parahemiurus merus	(Linton, 1910)          	Amblygaster leiogaster	Pacific coast of Indonesia	Western Coral Triangle
Aphanurus stossichii	(Monticelli, 1891)          	Amblygaster leiogaster	Pacific coast of Indonesia	Western Coral Triangle
Prosorhynchus paracrucibulus	Velasquez, 1959          	Ambassis buruensis	Coast of Philippines	Western Coral Triangle
Lepotrema clavatum	Ozaki, 1932          	Amanses scopas	Australia: Coast of Queensland	Northeast Australian Shelf
Lintonium vibex	(Linton, 1905)          	Aluterus monoceros	South China Sea	South China Sea
Stephanostomum imparispine	(Linton, 1905)          	Aluterus monoceros	South China Sea	South China Sea
Pseudocreadium scaphosomum	Manter, 1940          	Aluterus monoceros	South China Sea	South China Sea
Paratetrochetus hansoni	Parukhin, 1964          	Aluterus monoceros	South China Sea	South China Sea
Plectognathotrema ovata	Parukhin, 1964          	Aluterus monoceros	South China Sea	South China Sea
Tetrochetus hainanensis	Shen, 1986          	Aluterus monoceros	South China Sea	South China Sea
Discogastroides hainanensis	Shen, 1990          	Aluterus monoceros	South China Sea	South China Sea
Hypocreadium scaphosomum	(Manter, 1940)          	Alutera monoceros	South China Sea	South China Sea
Pseudacaenodera alectis	Shen, 1990          	Alectis indica	South China Sea	South China Sea
Prosorhynchus alectis	Shen, 1990          	Alectis ciliaris	South China Sea	South China Sea
Pseudopecoelus alectis	Shen, 1990          	Alectis ciliaris	South China Sea	South China Sea
Hysterolecitha progonimus	Ku & Shen, 1964        	Albula vulpes	South China Sea	South China Sea
Albulatrema ovale	Yamaguti, 1965          	Albula vulpes	South China Sea	South China Sea
Bivesicula claviformis	Yamaguti, 1934          	Adioryx ruber	Australia: Coast of N Territories	Sahul Shelf
Homalometron wrightae	Cribb & Bray, 1999        	Achlyopa nigra	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha acanthuri	Annereaux, 1947          	Acanthurus triostegus	Coast of Philippines	Western Coral Triangle
Zebrasomatrema pichelinae	Bray & Chambers, 2000        	Acanthurus triostegus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Acanthurus triostegus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Acanthurus sandvicensis	Hawaiian coast	Hawaii
Schikhobalotrema glomerosum	Pritchard & Manter, 1961        	Acanthurus sandvicensis	Hawaiian coast	Hawaii
Diplobulbus minutus	Pritchard, 1966          	Acanthurus sandvicensis	Hawaiian coast	Hawaii
Hysterolecithoides manini	Yamaguti, 1970          	Acanthurus sandvicensis	Hawaiian coast	Hawaii
Lecithaster stellatus	Looss, 1906          	Acanthurus olivaceus	Hawaiian coast	Hawaii
Petalocotyle diverticulata	Hall & Cribb, 2000        	Acanthurus nigrofuscus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Acanthurus nigrofuscus	Hawaiian coast	Hawaii
Schikhobalotrema hawaiiense	Pritchard & Manter, 1961        	Acanthurus mata	Hawaiian coast	Hawaii
Zebrasomatrema pichelinae	Bray & Chambers, 2000        	Acanthurus lineatus	Australia: Coast of Queensland	Northeast Australian Shelf
Petalocotyle diverticulata	Hall & Cribb, 2000        	Acanthurus lineatus	Australia: Coast of Queensland	Northeast Australian Shelf
Megasolena acanthuri	Machida & Uchida, 1991        	Acanthurus lineatus	Coast of Philippines	Western Coral Triangle
Schikhobalotrema glomerosum	Pritchard & Manter, 1961        	Acanthurus achilles	Hawaiian coast	Hawaii
Prosorhynchus crucibulum	Rudolphi, 1819          	Acanthopagrus berda	Coast of Philippines	Western Coral Triangle
Prototransversotrema steeri	(Angel, 1969)          	Acanthopagrus australis	Australia: Coast of Queensland	Northeast Australian Shelf
Prototransversotrema steeri	(Angel, 1969)          	Acanthopagrus australis	Queensland	Northeast Australian Shelf
Coitocaecum michaeli	Aken'Ova & Cribb, 1996        	Acanthopagrus australis	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Acanthopagrus australis	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Acanthopagrus australis	Australia: Coast of Queensland	Northeast Australian Shelf
Coitocaecum gymnophallum	Nicoll, 1915          	Acanthopagrus australis	Australia: Coast of Queensland	Northeast Australian Shelf
Schikhobalotrema pomacentri	(Manter, 1937)          	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepocreadium clavatum	(Ozaki, 1932)          	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Bivesicula unexpecta	Cribb, Bray & Barker, 1994        	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepotrema clavatum	Ozaki, 1932          	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Acanthochromis polyacanthus	Australia: Coast of Queensland	Northeast Australian Shelf
Acanthocolpus acanthocepolae	Shen, 1990          	Acanthocepola india	South China Sea	South China Sea
Schikhobalotrema pomacentri	(Manter, 1937)          	Abudefduf whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Abudefduf whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Derogenes pharyngicola	Bray, Cribb & Barker, 1993        	Abudefduf whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Steganoderma gibsoni	Cribb, Bray & Barker, 1992        	Abudefduf whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Abudefduf whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Lepocreadium oyabitcha	Machida, 1984          	Abudefduf whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Abudefduf whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Abudefduf sordidus	Hawaiian coast	Hawaii
Thulinia microrchis	(Yamaguti, 1934)          	Abudefduf sexfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Abudefduf sexfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Abudefduf sexfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepotrema adlardi	(Bray, Cribb & Barker, 1993)        	Abudefduf bengalensis	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Abudefduf bengalensis	Australia: Coast of Queensland	Northeast Australian Shelf
Lepocreadium adlardi	Bray, Cribb & Barker, 1993        	Abudefduf bengalensis	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Abudefduf bengalensis	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Abudefduf abdominalis	Hawaiian coast	Hawaii
Bucephalopsis ablennus	Gu & Shen, 1976        	Ablennes anastomella	South China Sea	South China Sea
Phyllodistomum pearsei	Holl, 1929          	Ablennes anastomella	South China Sea	South China Sea
Lobatocreadium exiguum	(Manter, 1963)          	Abalistes stellatus	Australia: Coast of Queensland	Northeast Australian Shelf
Hypocreadium cavum	Bray & Cribb, 1996        	Abalistes stellatus	Australia: Coast of Queensland	Northeast Australian Shelf
Lintonium vibex	(Linton, 1905)          	Abalistes stellaris	South China Sea	South China Sea
Stephanostomum imparispine	(Linton, 1905)          	Abalistes stellaris	South China Sea	South China Sea
Hypocreadium scaphosomum	(Manter, 1940)          	Abalistes stellaris	South China Sea	South China Sea
Diploproctodaeoides longipygum	(Oshmarin, Mamaev & Parukhin, 1961)        	Abalistes stellaris	Australia: Coast of Queensland	Northeast Australian Shelf
Pseudocreadium scaphosomum	Manter, 1940          	Abalistes stellaris	South China Sea	South China Sea
Diploproctodaeum macracetabulum	Oshmarin, Mamaev & Parukhin, 1961        	Abalistes stellaris	Australia: Coast of Queensland	Northeast Australian Shelf
Diploproctodaeum longipygum	Oshmarin, Mamaev & Parukhin, 1961        	Abalistes stellaris	South China Sea	South China Sea
Diploproctodaeum macracetabulum	Oshmarin, Mamaev & Parukhin, 1961        	Abalistes stellaris	South China Sea	South China Sea
Sphincteristomum acollum	Oshmarin, Mamaev & Parukhin, 1961        	Abalistes stellaris	South China Sea	South China Sea
Schistorchis skrjabini	Parukhin, 1963          	Abalistes stellaris	South China Sea	South China Sea
Prosogonotrema abalisti	Parukhin, 1964          	Abalistes stellaris	South China Sea	South China Sea
Monilicaecum ventricosum	Yamaguti, 1942          	Abalistes stellaris	South China Sea	South China Sea
