scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Stephanostomum casum	Linton, 1910          	Lutjanus bohar	Coast of Philippines	Western Coral Triangle
Transversotrema licinum	Manter, 1970          	Lutjanus bohar	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Lutjanus adetii	Australia: Coast of Queensland	Northeast Australian Shelf
Paucivitellosus fragilis	Coil, Reid & Kuntz, 1965        	Liza vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Hymenocotta mulli	Manter, 1961          	Liza vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Liza vaigiensis	Australia: Coast of Queensland	Northeast Australian Shelf
Prototransversotrema steeri	(Angel, 1969)          	Liza subviridis	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema patialense	(Soparkar, 1924)          	Liza subviridis	Australia: Coast of Queensland	Northeast Australian Shelf
Prototransversotrema exquisitum	Cribb, Bray & Barker, 1992        	Liza subviridis	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Liza subviridis	Australia: Coast of Queensland	Northeast Australian Shelf
Pseudopecoeloides mugilis	Shen, 1990          	Liza macrolepis	South China Sea	South China Sea
Prohaplosplanchnus diorchis	Tang & Lin, 1978        	Liza haematocheilae	South China Sea	South China Sea
Phanurus oligoovus	Liu & Yang, 2002        	Liza carinatus	South China Sea	South China Sea
Pseudohapladena lizae	Liu & Yang, 2002        	Liza carinatus	South China Sea	South China Sea
Lasiotocus lizae	Liu, 2002          	Liza carinatus	South China Sea	South China Sea
Paucivitellosus fragilis	Coil, Reid & Kuntz, 1965        	Liza argentea	Australia: Coast of Queensland	Northeast Australian Shelf
Hapalotrema flecterotestis	Zhukov, 1971          	Liocassis brashnikowi	South China Sea	South China Sea
Podocotyle lethrini	Yamaguti, 1942          	Lethrinus ornatus	South China Sea	South China Sea
Podocotyle lethrini	Yamaguti, 1942          	Lethrinus orantus	South China Sea	South China Sea
Stephanostomum pagrosomi	(Yamaguti, 1939)          	Lethrinus nebulosus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithochirium keokeo	Yamaguti, 1970          	Lethrinus nebulosus	South China Sea	South China Sea
Tubulovesicula angusticauda	(Nicoll, 1915)          	Lethrinus miniatus	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Lethrinus miniatus	Australia: Coast of Queensland	Northeast Australian Shelf
Stephanostomum pagrosomi	(Yamaguti, 1939)          	Lethrinus miniatus	Australia: Coast of Queensland	Northeast Australian Shelf
Macvicaria macassarensis	(Yamaguti, 1952)          	Lethrinus miniatus	Australia: Coast of Queensland	Northeast Australian Shelf
Stephanostomum aaravi	Bray & Cribb, 2003        	Lethrinus miniatus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Lethrinus miniatus	Australia: Coast of Queensland	Northeast Australian Shelf
Hamacreadium lethrini	Yamaguti, 1934          	Lethrinus erythropterus	Coast of Philippines	Western Coral Triangle
Stephanostomum pagrosomi	(Yamaguti, 1939)          	Lethrinus atkinsoni	Australia: Coast of Queensland	Northeast Australian Shelf
Zoogonus pagrosomi	Yamaguti, 1939          	Lethrinus atkinsoni	Australia: Coast of Queensland	Northeast Australian Shelf
Plagioporus leiognathi	Wang, Wang & Zhang, 1992        	Leiognathus ruconius	South China Sea	South China Sea
Bucephalopsis scombropsis	Yamaguti, 1938          	Leiocassis hainensis	South China Sea	South China Sea
Prototransversotrema steeri	(Angel, 1969)          	Lates calcarifer	Australia: Coast of Queensland	Northeast Australian Shelf
