"AphiaID_Parasite";"AphiaID_Host"
122891;218263
728319;218158
396424;273912
1540257;219689
396425;219689
396425;273912
1034666;209219
1034666;276787
1034666;276788
517215;278822
835562;217422
517216;281037
835564;217422
517509;217419
105275;105792
414474;105792
414474;105796
414474;105800
389104;105795
1047812;217428
1557216;217359
1557220;217359
516929;217378
1557219;217359
516932;217422
516934;217378
1287680;989371
1287681;989371
1287682;989371
1287684;989371
1287685;989371
135797;105796
135797;105843
767626;276012
851933;219673
851933;278010
728629;220003
728629;276026
728629;276027
767632;211787
767632;220003
767632;278836
767632;280124
419023;219667
419023;276012
1115838;218536
1115839;218536
348870;218536
348870;218710
348871;218710
348871;218711
348874;276012
361693;218536
357086;126803
357086;159703
348876;218536
703699;218710
362542;273489
348877;219667
348877;219668
348880;218710
348881;218536
348881;218711
348886;219634
348886;219667
348886;273914
348886;282348
726576;212056
726576;212081
726579;278536
109316;159646
109316;209217
109316;218200
109316;220046
109316;273833
109316;280693
727212;218920
727212;219090
727212;219127
728709;154721
1337722;154721
728713;158807
728713;159703
728713;303486
728716;154721
728716;275234
574167;273765
348900;281715
729325;211787
727051;217495
727053;126371
727053;212081
727055;212062
727055;218431
727058;127006
727058;159646
594398;218730
594398;218734
594398;218743
594398;218744
594398;218754
594398;218760
594398;218764
594398;218765
594398;273335
594398;273337
594398;273347
594398;273353
594398;276748
594398;280390
419102;159703
109359;127232
109359;127407
109359;159246
109359;159646
109359;159703
109359;159803
109359;212081
109359;212781
109359;218430
109359;218431
109359;218438
109359;220046
109359;277132
109359;277159
419104;158807
419104;212783
419104;218431
419104;218711
419104;282058
727071;212843
727071;218781
727071;277164
727071;281275
727072;127045
729233;159662
159940;159662
361348;127407
361336;127006
361336;282395
349000;159564
1421606;219665
1421606;219668
991853;159393
991853;217941
991853;217950
994306;212256
994307;212256
994308;212256
994071;218730
994071;218754
459020;273836
994073;280866
994074;218576
459021;217941
459021;217950
459024;219665
459024;219668
459025;218658
994087;218691
1307706;218579
1338533;127234
729088;127046
1552532;272038
1552531;272038
1552530;272038
725444;273912
765587;273912
765588;273911
765588;273916
1039020;218411
1039019;218753
1374039;218430
1039018;218434
1313619;159439
1606840;159281
888177;126378
519051;159259
519054;126378
519054;159259
726182;281275
594713;217439
109108;218479
109108;218487
109108;218490
1263329;212264
814965;127045
814965;219686
1567856;276851
1567856;276852
1313200;219874
988458;1382144
988459;217422
988460;217422
988461;398330
419223;276012
994025;212056
1606685;159259
594253;218539
594255;218539
727743;218539
727743;273485
1601988;218261
1326632;278634
717781;218932
717784;218200
717784;218205
717784;218206
717784;218498
717784;273840
717784;273867
518597;218499
518597;282915
518598;218182
518598;218184
518598;279147
717785;218647
717785;218730
717785;218733
717785;219634
717785;219884
717785;219890
518599;282915
518600;273835
518602;276528
518603;276528
414341;220058
717792;219930
760730;218510
727310;219954
419114;158935
419114;273833
727321;220058
727322;219925
727323;219911
519140;218431
519116;367285
594319;219673
718571;212257
519295;218430
519296;218430
745897;281275
727744;281275
745900;281275
727745;281275
745898;281275
727747;281275
727748;281275
727749;281275
574124;159385
574124;159559
1575035;218182
1575035;279147
1575035;279150
574121;212209
574121;212781
574121;212783
574121;217940
574121;217950
574121;218174
574121;218182
574121;218183
574121;218199
574121;218205
574121;218207
574121;218228
574121;218252
574121;218253
574121;273833
574121;277177
574121;278403
574147;218207
574147;273833
574126;159439
