Species	South_China_Sea	Sunda_Shelf	Java_Transitional	South_Kuroshio	Tropical_Northwestern_Pacific	Western_Coral_Triangle	Eastern_Coral_Triangle	Sahul_Shelf	Northeast_Australian_Shelf	Northwest_Australian_Shelf	Tropical_Southwestern_Pacific	Lord_Howe_and_Norfolk_Islands	Hawaii	Marshall_Gilbert_and_Ellis_Islands	Central_Polynesia	Southeast_Polynesia	Marquesas	Easter_Island
Alabes parvula	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Albula argentea	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0
Albula forsteri	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0
Albula glossodonta	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0
Albula oligolepis	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
Albula virgata	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Alectis ciliaris	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Alectis indica	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0
Alepes djedaba	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0
Alepes kleinii	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Alionematichthys minyomma	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alionematichthys piger	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Alionematichthys riukiuensis	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0
Allocyttus verrucosus	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Allomicrodesmus dorotheae	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Allomycterus pilatus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Alticus arnoldorum	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0
Alticus montanoi	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Alticus orientalis	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Alticus saliens	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0
Alticus sertatus	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Alticus simplicirrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Altrichthys azurelineatus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Altrichthys curatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Aluterus monoceros	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
Aluterus scriptus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Amanses scopas	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
