"E_CODE";"EcosystemName";"SpecCode";"Species";"autoctr";"EcosystemRefno";"Stockcode";"Status";"CurrentPresence";"Abundance";"LifeStage";"Remarks";"Entered";"Dateentered";"Modified";"Datemodified";"Expert";"Datechecked";"WebURL";"TS";"PROVINCE";"REALM"
849;"Arafura Sea";12573;"Owstonia sibogae";210076;93627;12918;"native";"Present";NA;"adults";NA;14;2013-06-11;NA;2013-06-11 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";15254;"Pterygotrigla hoplites";219891;95016;14595;"native";"Present";NA;"adults";NA;14;2015-02-16;NA;2015-02-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";47891;"Onigocia sibogae";130128;87998;40234;"native";"Present";NA;"adults";NA;14;2013-03-11;NA;2013-03-11 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";59393;"Neenchelys cheni";218801;7300;49129;"native";"Present";NA;"adults";NA;14;2014-09-03;NA;2014-09-03 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";60408;"Ctenotrypauchen chinensis";211454;78624;50167;"native";"Present";NA;"adults";NA;14;2013-09-09;NA;2013-09-09 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";67984;"Aetomylaeus caeruleofasciatus";225414;103981;59402;"native";"Present";NA;"adults";NA;14;2016-07-28;NA;2016-07-28 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";68594;"Parascombrops glossodon";248470;116586;60180;"native";"Present";NA;"adults";NA;14;2018-01-25;NA;2018-01-25 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";68899;"Owstonia kamoharai";249658;119093;60521;"native";"Present";NA;"adults";NA;14;2018-12-06;NA;2018-12-06 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";68979;"Scolopsis meridiana";249815;118677;60610;"native";"Present";NA;"adults";NA;14;2019-03-12;NA;2019-03-12 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";69343;"Parascolopsis akatamae";252448;123359;60999;"questionable";"Potential";NA;"adults";NA;1;2020-12-08;NA;2020-12-08 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";69702;"Zebrias callizona";255023;94170;61399;"native";"Present";NA;"adults";NA;14;2022-05-19;NA;2022-05-19 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";69833;"Acropoma arafurensis";256184;123727;61544;"native";NA;NA;"adults";"Type locality of <i>Acropoma arafurensis</i>.";14;2022-10-19;NA;2022-10-19 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";69884;"Lythrichthys dentatus";256308;123746;61599;"native";NA;NA;"adults";"Type locality";14;2022-12-05;NA;2022-12-05 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";69919;"Uranoscopus arafurensis";256365;123279;61635;"native";NA;NA;"adults";"Type locality of <i>Uranoscopus arafurensis</i>.";14;2022-12-09;NA;2022-12-09 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
953;"Banda Sea";15974;"Bolinichthys pyrsobolus";217939;96467;14955;"native";"Present";NA;"adults";NA;14;2014-07-01;NA;2014-07-01 00:00:00;NA;NA;NA;NA;"Western Coral Triangle";"Central Indo-Pacific"
953;"Banda Sea";24196;"Bathycallionymus kaianus";219611;43239;19222;"native";"Present";NA;"adults";NA;2291;2014-11-07;NA;2014-11-07 00:00:00;NA;NA;NA;NA;"Western Coral Triangle";"Central Indo-Pacific"
953;"Banda Sea";58320;"Oneirodes micronema";210184;86949;47990;"native";"Present";NA;"adults";NA;2291;2013-06-24;NA;2013-06-24 00:00:00;NA;NA;NA;NA;"Western Coral Triangle";"Central Indo-Pacific"
953;"Banda Sea";59130;"Oneirodes schistonema";210144;86949;48855;"native";"Present";NA;"adults";"Known from Banda Sea (Ref. 86949).";2291;2013-06-20;NA;2013-06-20 00:00:00;NA;NA;NA;NA;"Western Coral Triangle";"Central Indo-Pacific"
953;"Banda Sea";59131;"Oneirodes schmidti";210185;86949;48856;"native";"Present";NA;"adults";NA;2291;2013-06-24;NA;2013-06-24 00:00:00;NA;NA;NA;NA;"Western Coral Triangle";"Central Indo-Pacific"
953;"Banda Sea";67485;"Neenchelys similis";218810;96531;58781;"native";"Present";NA;"adults";NA;14;2014-09-03;NA;2014-09-03 00:00:00;NA;NA;NA;NA;"Western Coral Triangle";"Central Indo-Pacific"
